Date,Racism,Sexual minorities,Gender minorities,Homosexuality,Homophobia,Misogyny,Intersectionality,Toxic,Woke,Cancel,Gender roles,Gender identity,Feminism,Masculinity,Other gender,Discrimination,Equality,Rainbow,Prime Minister,Government,Parliament,Agriculture,Industry,Climate,Elderly,Secretary of Treasury,Act Proposal,School,Labor Unions,Secretary of Defence,Secretary of Foreign Affairs,Mortgage,Demonstrations,Immigration,Secretary of State Home Office
2022-02-02,0.544057446275074,0.3420937187539378,0.23531792903327256,0.18742313521621295,0.46449599064434854,0.13334700299341204,0.8825148235774231,0.3096904406959027,0.6807904988208511,-0.018289648834330107,0.382814131972638,0.11382511900309962,0.06882838272765066,-0.284822698562204,0.8453322401152693,0.20824782514331355,0.11234846755288452,0.4085747440617345,-0.2556445707247944,-0.06010172398364067,-0.20757004743621996,-0.12323527917798031,0.0475636766873267,-0.22155113781022434,0.24330368813290112,0.17168550976905625,0.6343891406926131,-0.02189775905913994,0.3358101259608255,0.2573164836359181,-0.09765912070677371,0.26658297004404313,0.400182337722143,-0.1669564395051077,0.13469224688416975
2022-02-03,0.670654941954807,0.3311970538625895,0.1610169163099028,0.2319514045925609,0.5137863888485312,0.1538316195877776,0.9136145431053688,0.27951675899629547,0.6570936373310022,0.285210193555939,0.48099082267783666,0.1269156922157986,0.040718923308092805,-0.29974441889135767,1.0261837156599936,0.35110597471810073,0.18582045037948858,0.4062230582460126,-0.4949000342935238,-0.1120756040591131,-0.3044971077426187,-0.23107632420836677,0.14961437590442592,-0.5682979862542308,0.11806667474349491,0.18379421265871987,0.717792574860269,-0.17361317260812678,0.40957672270652257,0.15721545704837428,-0.4126020291786843,0.1803456828596536,0.6609889807688771,-0.3479906393672383,-0.009935958801645243
2022-02-04,0.8222272689233721,0.2066773811252219,0.1996983070396738,0.31294153317164897,0.591183999171369,-0.031136094215866383,0.9841618988750711,0.3292249526279362,0.637801079680077,0.46449016384409897,0.6705672275683797,0.041806244412957015,-0.06705748371660564,-0.3090662072766358,0.8124558938646467,0.3901486771890504,0.2633782378301109,0.3961086737203787,-0.7239060167668487,-0.29330504182755385,-0.471147673093838,-0.38944472119957446,0.0902261442330721,-0.842799965158694,0.0028547080267580884,0.37206176600380053,0.8827546147378544,-0.18093993235030684,0.3570495872499174,0.1135897419212713,-0.6664230927239801,0.1432527776817756,0.8996910662203951,-0.3655356030137535,0.12687300289742143
2022-02-05,0.7591540225433938,-0.06565383458741982,0.10711405683761499,0.34240382456274343,0.5575848461443875,-0.12610472509280002,0.9590619709587171,0.3363453417456766,0.6447280073865111,0.498570627045898,0.7213713293888895,0.14173363254896656,0.020825108945122316,-0.327473761863183,0.969596699764121,0.17125835373935455,0.12744006009458575,0.29264213048180787,-0.8973019975834144,-0.8569880738310471,-0.5799765202260833,-0.5461360097362666,-0.2695791546053638,-0.8231597134910849,-0.20699125019325149,0.3538577094991833,1.1663077496705294,-0.31598221350003247,0.3796341617339867,0.08612915258313411,-1.0241277185549724,0.20420568189126936,1.0892394693139762,-0.4418346727011802,0.10667988695146427
2022-02-06,0.6524906737941496,-0.1912938730332741,0.03530437605424579,0.3695233080510981,0.5393130237060028,-0.2165229294127505,1.1008475185858932,0.35783691423481695,0.6005423864863999,0.7775683623635061,0.6479357297523329,0.15146659193307083,0.07452580539304694,-0.3544073639199917,1.05116634146279,-0.05450017884868642,-0.043740818200265284,0.13706825736753675,-1.0757129969377779,-0.931932172657637,-0.687146964232268,-0.6059252900216309,-0.49956955015257437,-0.599340045312373,-0.3262033741384499,0.29757980512800675,1.174606305936502,-0.5686712533090884,0.4608209164045083,0.05634953442723222,-1.1458095614817583,0.3649031724694567,1.285669137679243,-0.4901849581302219,0.078234050819806
2022-02-07,0.646420981415512,-0.24637490170014342,-0.020963162026115766,0.3411231959721637,0.5441756705507549,-0.18825191359763557,1.0257654306417698,0.3201484080898782,0.5950504210433663,0.8267772152422664,0.7710463561509342,0.07065612195563409,0.09740248093852288,-0.3253481378624822,1.126266626757735,-0.2222274427673218,-0.2551217855562824,0.10402609916794217,-1.2246586776517023,-0.9495452709835417,-0.7817793917172899,-0.6003778568277288,-0.36359470232213437,-0.4673609886070796,-0.5750381385176411,0.34900320223558945,0.9670011288394733,-0.5310911363093681,0.5813120491299303,0.0757156839693114,-1.2685235833526907,0.3542314501973968,1.4675841675678365,-0.538753536451692,0.2003059932740609
2022-02-08,0.5673352513438232,-0.30660161560840155,-0.052419174250598194,0.38286464187997354,0.49266869845627226,-0.2936140924299666,1.0995956132907925,0.33706209004677773,0.5651336344376275,0.9672782712538356,0.8831184550823435,0.0009949827357706277,0.05594706411598647,-0.391451566603354,1.0917748627227601,-0.26577245149697537,-0.23193219445577648,0.055865580946429245,-1.3699034001223471,-0.7157498355258205,-0.7060202335671696,-0.7103414541748766,-0.35921877191680457,-0.6786665881261325,-0.6807613236999286,0.22229072442046077,0.879192602219631,-0.3703311740209546,0.555111441432509,0.10518601257795207,-1.297397231646055,0.17993589229528412,1.4554637238977453,-0.6103507857827858,0.17454479573083326
2022-02-09,0.4645224679425272,-0.4339692878536739,-0.1953062912010867,0.411979845797423,0.5517293839318308,-0.34929258614128333,1.0843251413167718,0.273283611075593,0.5392350377768147,0.944276919465782,0.8655680488823894,-0.05892008825186656,-0.010214467136100872,-0.4618420045792546,0.9384088770016171,-0.30992071800482157,-0.1809626809312522,0.06515293437724311,-1.439178816090388,-0.5329212185121425,-0.683562602878512,-0.8840570697899403,-0.7336083304644325,-0.8773131760153897,-0.8465912898221712,0.13749133442434106,0.9616080658649598,-0.3662608306522768,0.5923844668491774,0.07731584724208368,-1.18321360536582,0.20481594297968023,1.5862762457392967,-0.6726467614401587,0.279001649412782
2022-02-10,0.3373885119299188,-0.5935894891079042,-0.3022001542698376,0.5023418025997597,0.4770983384855854,-0.368024321325844,1.1127656774478518,0.4163241342700589,0.5742916149970718,1.0179263111730303,0.8968965705065844,-0.13677980053548988,-0.09585807301882943,-0.50641808600256,1.0637990888128745,-0.43937363446435307,-0.44169474534582503,0.045110439379779314,-1.4258549941580745,-0.4690521159239685,-0.8225756109127603,-1.1272527420085674,-1.006928922292204,-0.9240922075853644,-0.9919626989393578,-0.10177543428153388,0.9841790485887998,-0.27538763341085626,0.6776387516620468,0.17268078329279807,-1.00044788648533,0.05483757558679691,1.7093627061037826,-0.7328020346142394,0.4234934647056279
2022-02-11,0.35427653766279427,-0.5914382695614484,-0.3228531623340797,0.6429371044252082,0.4741653361503654,-0.1992625448392985,1.1832986461837716,0.3757684700627087,0.5846283449429992,0.9475921073990481,0.9438002611285927,-0.18136649036102262,-0.09690355292772591,-0.5931951462645234,1.3949687083990001,-0.4925394469569321,-0.5542185844341672,0.0682962610776458,-1.5053374182280597,-0.4344800426782316,-0.9681421399926801,-1.1705218737295855,-1.0376072908202052,-1.0083314144654485,-0.9957947199424971,-0.20234187356174274,1.2247308641413557,-0.17026131517457727,0.7507883327946676,0.21901207942565756,-0.7719738193297597,-0.07805771555354965,1.737767201464724,-0.7680834803559227,0.41560249115452297
