Date,Racism,Sexual minorities,Gender minorities,Homosexuality,Homophobia,Misogyny,Intersectionality,Toxic,Woke,Cancel,Gender roles,Gender identity,Feminism,Masculinity,Other gender,Discrimination,Equality,Rainbow,Prime Minister,Government,Parliament,Agriculture,Industry,Climate,NumOfArticles
2022-03-27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2,2,2,2,40
2022-03-28,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,7,2,2,5,2,64
2022-03-29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,14,7,2,5,2,74
2022-03-30,2,0,0,8,4,0,0,0,0,0,1,0,0,0,0,2,2,0,3,11,6,0,8,3,76
2022-03-31,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,3,12,7,3,4,3,78
2022-04-01,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,12,4,3,4,5,70
2022-04-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,4,1,2,0,50
2022-04-03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,1,38
2022-04-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,9,6,3,2,7,57
2022-04-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,21,6,3,4,3,63
2022-04-06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,9,4,0,7,6,70
2022-04-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,15,11,1,4,3,75
2022-04-08,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,10,5,2,5,3,76
2022-04-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,0,2,3,39
2022-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,32
2022-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,12,4,0,3,2,41
2022-04-12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9,3,0,4,3,66
2022-04-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,8,0,1,1,69
2022-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,6,4,4,1,75
2022-04-15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,12,6,1,0,1,43
2022-04-16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,2,1,1,3,35
2022-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,5,3,1,4,4,37
2022-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,3,2,38
2022-04-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,15,11,0,0,1,61
2022-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,13,6,0,3,2,59
2022-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,12,2,3,4,73
2022-04-22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,8,6,1,9,1,64
2022-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,4,2,8,4,48
2022-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,36
2022-04-25,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,9,2,0,6,4,73
2022-04-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,8,2,1,6,2,75
2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,2,6,0,57
